397.7	0.4	0.0252
476.6	0.3	0.0840
754.2	0.4	0.0420
950.33	0.13	0.1008
1038.89	0.10	0.1933
1071.0	0.5	0.0672
1152.46	0.06	0.7479
1273.33	0.03	23.9496
1415.54	0.09	0.3025
1446.14	0.04	1.1261
1540.18	0.06	0.4958
1564.99	0.05	0.7311
1760.4	0.5	0.0588
1793.51	0.04	0.9412
1867.29	0.05	1.0924
2027.98	0.09	0.6218
2092.89	0.03	27.7311
2123.8	0.6	0.0336
2425.73	0.04	4.2521
2508.24	0.13	0.3529
2906.2	0.5	0.0588
3538.98	0.04	100.0000
3566.5	0.5	0.0504
3633.0	N/A	0.1008
3660.80	0.06	5.7983
3841.4	0.6	0.0588
3954.44	0.05	3.6975
4482.1	0.4	0.1513
4632.3	0.7	0.0336
4839.6	0.4	0.3361
4880.2	0.5	0.2521
4933.98	0.03	93.2773
5096.4	0.7	0.0588
5106.74	0.06	5.2101
5405.4	0.9	0.0504
5634.4	0.4	0.1765
5784.7	0.7	0.0252
6046.91	0.16	0.4622
6379.80	0.04	15.9664
6444.9	0.5	0.1681
6711.4	0.9	0.0420
6907.6	0.7	0.0840
7056.9	0.4	0.2269
7199.20	0.05	10.0000
7521.8	0.9	0.0168
7993.9	0.9	0.0252
8472.22	0.07	3.0756
271.0	N/A	0.0921
289.2	N/A	0.0921
295.7	0.4	0.0737
326.0	0.4	0.1842
333.3	0.3	0.2394
355.80	0.08	0.6262
400.9	0.4	0.1105
407.14	0.07	0.6814
421.0	0.5	0.1289
646.8	0.3	0.2210
692.5	0.5	0.1842
816.87	0.05	2.3941
989.45	0.05	2.3204
998.9	0.3	0.5525
1012.05	0.09	1.8048
1022.6	N/A	0.0737
1027.1	N/A	0.0737
1040.9	N/A	0.0737
1061.3	N/A	0.0737
1153.61	0.13	0.9945
1248.0	N/A	0.2762
1263.18	0.06	12.0810
1301.12	0.05	3.3333
1311.80	0.14	0.8840
1332.48	0.16	0.6262
1390.3	0.5	0.1289
1409.6	N/A	0.0737
1462.0	N/A	0.0737
1469.2	0.4	0.3131
1505.46	0.04	8.3057
1534.12	0.04	12.0994
1552.36	0.04	7.9190
1602.8	0.9	0.1842
1655.89	0.12	1.5285
1672.7	0.3	0.5893
1711.3	0.3	9.2081
1733.00	0.10	2.4309
1810.42	0.22	0.9945
1830.6	0.4	0.4972
1844.40	0.16	1.1418
1893.6	0.5	0.3499
1933.9	0.5	0.4052
1989.02	0.07	2.3204
2020.33	0.23	2.7808
2154.3	0.6	0.2578
2235.23	0.03	100.0000
2256.7	0.4	0.4604
2276.22	0.08	2.7256
2359.57	0.04	7.7164
2445.94	0.03	17.3112
2454.5	0.3	0.5525
2504.3	N/A	0.0737
2574.8	0.5	0.2762
2595.39	0.04	6.1694
2667.0	0.6	0.1105
2667.0	0.6	0.2947
2676.87	0.06	4.7698
2747.6	0.5	0.2394
2871.6	0.3	0.7366
2941.9	0.5	0.4052
2956.25	0.12	2.3941
2996.2	0.9	0.2578
3101.19	0.03	51.9337
3136.6	0.7	0.2762
3142.5	N/A	0.1289
3145.1	N/A	0.1105
3252.00	0.09	2.4125
3283.8	0.3	0.7919
3294.9	0.9	0.1105
3378.68	0.25	0.8287
3415.7	0.7	0.2947
3498.33	0.05	11.8785
3693.8	N/A	0.1842
3694.2	0.3	2.4125
3738.20	0.18	3.7569
3769.22	0.05	10.2947
3864.89	0.03	65.3775
3967.78	0.09	8.6556
4009.09	0.21	2.0442
4087.6	0.5	0.7366
4168.4	N/A	0.1105
4375.18	0.15	2.6703
4393.43	0.23	1.5470
4405.56	0.08	6.3720
4508.64	0.17	1.4549
4656	N/A	0.1289
4664.36	0.12	2.4862
4679.2	0.3	0.9392
4766.7	0.7	0.2210
4786.5	0.8	0.1842
4810.0	0.3	0.9945
4994.9	0.7	0.5893
5128.18	0.17	3.5912
5272.09	0.07	34.6225
5398.8	0.4	0.8840
5431.5	0.6	0.3683
5538.05	0.24	1.7495
5868.8	0.7	0.3867
5920.2	0.7	0.2947
5927.24	0.15	2.9466
6004.4	0.9	0.1473
6098.0	0.3	1.1602
6487.0	0.7	0.2210
6640.7	0.9	0.3131
6662.00	0.25	2.2836
6717.3	0.8	0.5341
6743.22	0.04	67.4033
6820.7	0.4	2.3573
6838.77	0.09	8.0663
6913.7	0.5	0.7366
7071.8	0.7	0.3315
7109.82	0.07	11.0129
7507.4	0.8	0.3131
7666	N/A	0.0442
7944.5	0.9	0.1289
7965.8	0.9	0.1289
8162.01	0.11	6.4273
8372.7	0.3	1.4549
8896.7	0.3	1.1050
8951.9	0.5	0.5893
9618.08	0.13	2.2468
9790.5	0.3	2.0442
10200.6	0.6	0.5157
10607.17	0.08	14.7514
